year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,3.35827,1.35412,2.64274,4.75630,0.85818,2.70713,2.86466,1.54981,5.37928
2011,3.52540,1.41626,2.71985,4.79351,0.91535,2.54856,2.93492,1.55552,5.52935
2012,3.54768,1.54045,2.77095,4.90369,0.87908,2.80361,3.28012,1.49108,5.73093
2013,3.81810,1.45590,2.89180,4.97218,0.85950,2.89684,3.26105,1.64592,5.57736
2014,4.04516,1.54466,3.12045,5.00056,0.85773,2.78484,3.32657,1.68047,5.64674
2015,3.88672,1.69639,3.09914,5.25547,0.90592,2.76397,3.66395,1.57498,5.95167
2016,3.92096,1.74669,3.15614,1.58165,0.85664,2.77540,3.73514,1.63864,5.80345
2017,3.99711,1.76773,3.11356,1.57646,0.87954,2.82770,3.88878,1.72960,5.92221
2018,4.39524,1.91248,3.31636,1.67603,0.93098,2.95235,4.06765,1.84624,6.69761
2019,4.66544,1.96209,3.50768,1.98524,0.88497,2.94931,4.32576,1.97242,7.13452
2020,4.57850,1.96789,3.61531,1.90072,0.84980,2.84772,4.22153,1.91562,7.06612
2021,4.41846,1.84455,3.66561,1.92141,0.87847,2.94745,3.97168,1.89320,6.86597
2022,4.94008,1.89274,4.04472,1.91471,0.92315,2.85715,4.15986,1.99868,7.15639
2023,4.64873,1.86139,3.70918,1.73492,0.91437,2.86945,4.15805,1.87774,6.91027
2024,4.96334,2.09747,3.90312,2.15953,0.96217,2.98253,4.37537,2.04819,7.42142
2025,5.01978,2.01659,3.82598,2.18927,0.94249,2.78771,4.54999,2.08700,7.43280
