st,cendiv
WA,Pacific
OR,Pacific
CA,Pacific
NV,Mountain
ID,Mountain
MT,Mountain
WY,Mountain
UT,Mountain
AZ,Mountain
NM,Mountain
CO,Mountain
ND,WestNorthCentral
SD,WestNorthCentral
NE,WestNorthCentral
MN,WestNorthCentral
IA,WestNorthCentral
WI,EastNorthCentral
TX,WestSouthCentral
OK,WestSouthCentral
KS,WestNorthCentral
MO,WestNorthCentral
AR,WestSouthCentral
LA,WestSouthCentral
MI,EastNorthCentral
IL,EastNorthCentral
MS,EastSouthCentral
AL,EastSouthCentral
FL,SouthAtlantic
TN,EastSouthCentral
KY,EastSouthCentral
GA,SouthAtlantic
SC,SouthAtlantic
NC,SouthAtlantic
VA,SouthAtlantic
IN,EastNorthCentral
OH,EastNorthCentral
PA,MiddleAtlantic
WV,SouthAtlantic
MD,SouthAtlantic
DE,SouthAtlantic
NJ,MiddleAtlantic
NY,MiddleAtlantic
VT,NewEngland
NH,NewEngland
MA,NewEngland
CT,NewEngland
RI,NewEngland
ME,NewEngland
