"Dim1","Dim2","Val"
"wecc","2010",5926190
"wecc","2011",10082290
"wecc","2012",11106860
"wecc","2013",9874769.999333
"wecc","2014",7449420
"wecc","2015",12683999.99933
"wecc","2016",13941000.00067
"wecc","2017",10394800.000333
"wecc","2018",10423590.000667
"wecc","2019",10458050
"wecc","2020",10070080
"wecc","2021",9818380
"wecc","2022",9379560
"wecc","2023",8878500
"wecc","2024",8787500
"wecc","2025",10216970
"wecc","2026",10673930
"wecc","2027",11028170
"wecc","2028",10491960
"wecc","2029",10484880
"wecc","2030",10301550
"wecc","2031",10177140
"wecc","2032",10106030
"wecc","2033",10023030
"wecc","2034",9943090
"wecc","2035",9876320
"wecc","2036",9859900
"wecc","2037",9884320
"wecc","2038",9922080
"wecc","2039",9976020
"wecc","2040",10007400
"wecc","2041",10007400
"wecc","2042",10007400
"wecc","2043",10007400
"wecc","2044",10007400
"wecc","2045",10007400
"wecc","2046",10007400
"wecc","2047",10007400
"wecc","2048",10007400
"wecc","2049",10007400
"wecc","2050",10007400
"east","2010",38461680
"east","2011",41434390
"east","2012",46757620
"east","2013",52239800
"east","2014",51345280
"east","2015",54413000
"east","2016",58113000
"east","2017",68539710
"east","2018",64018500
"east","2019",60112180
"east","2020",61326540
"east","2021",62191380
"east","2022",54370220
"east","2023",51982210
"east","2024",55418430
"east","2025",47455630
"east","2026",51061220
"east","2027",54293610
"east","2028",59484100
"east","2029",57803430
"east","2030",61759330
"east","2031",58875880
"east","2032",61284350
"east","2033",59997270
"east","2034",60876590
"east","2035",59225490
"east","2036",59055500
"east","2037",58396430
"east","2038",58097470
"east","2039",57782540
"east","2040",57337620
"east","2041",57337620
"east","2042",57337620
"east","2043",57337620
"east","2044",57337620
"east","2045",57337620
"east","2046",57337620
"east","2047",57337620
"east","2048",57337620
"east","2049",57337620
"east","2050",57337620
