Turbine,Year,CFc,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh,rsc_mult
fixed,2010,0.36354193,5237.460503,90.9107,0,1
fixed,2011,0.36354193,5237.460503,90.9107,0,1
fixed,2012,0.36354193,5237.460503,90.9107,0,1
fixed,2013,0.36354193,5237.460503,90.9107,0,1
fixed,2014,0.36354193,5237.460503,90.9107,0,1
fixed,2015,0.36354193,5237.460503,90.9107,0,1
fixed,2016,0.36354193,5237.460503,90.9107,0,1
fixed,2017,0.36354193,5237.460503,90.9107,0,1
fixed,2018,0.36354193,5237.460503,90.9107,0,1
fixed,2019,0.36354193,5237.460503,90.9107,0,1
fixed,2020,0.36354193,5237.460503,90.9107,0,1
fixed,2021,0.36354193,5237.460503,90.9107,0,1
floating,2010,0.4255253,15115.56463,81.5295,0,1
floating,2011,0.4255253,15115.56463,81.5295,0,1
floating,2012,0.4255253,15115.56463,81.5295,0,1
floating,2013,0.4255253,15115.56463,81.5295,0,1
floating,2014,0.4255253,15115.56463,81.5295,0,1
floating,2015,0.4255253,15115.56463,81.5295,0,1
floating,2016,0.4255253,15115.56463,81.5295,0,1
floating,2017,0.4255253,15115.56463,81.5295,0,1
floating,2018,0.4255253,15115.56463,81.5295,0,1
floating,2019,0.4255253,15115.56463,81.5295,0,1
floating,2020,0.4255253,15115.56463,81.5295,0,1
floating,2021,0.4255253,15115.56463,81.5295,0,1
