Turbine,Year,CFc,Overnight Cap Cost $/kW,Fixed O&M $/(kW-yr),Var O&M $/MWh
115hh_170rd,2010,0.292507583,2639.123247,47.01292298,0
115hh_170rd,2011,0.287863519,2466.783853,47.01292298,0
115hh_170rd,2012,0.333422154,2294.44446,47.01292298,0
115hh_170rd,2013,0.378516641,2157.986454,47.01292298,0
115hh_170rd,2014,0.415988114,2021.52845,47.01292298,0
115hh_170rd,2015,0.392978011,1909.535028,47.01292298,0
115hh_170rd,2016,0.426335902,1797.541606,47.01292298,0
115hh_170rd,2017,0.409774907,1795.052236,47.01292298,0
115hh_170rd,2018,0.439249026,1649.674721,47.01292298,0
115hh_170rd,2019,0.410346804,1504.297206,47.01292298,0
115hh_170rd,2020,0.398443076,1517.579083,46.44000004,0
115hh_170rd,2021,0.367444538,1386.593679,32.72400003,0
