r,st,transreg,transgrp,aggreg
WA,WA,NorthernGrid,NorthernGrid_West,WA
OR,OR,NorthernGrid,NorthernGrid_West,OR
CA_N,CA,CAISO,CAISO,CA_N
CA_S,CA,CAISO,CAISO,CA_S
CA_IID,CA,WestConnect,WestConnect_South,CA_IID
CA_LA,CA,CAISO,CAISO,CA_LA
ID,ID,NorthernGrid,NorthernGrid_East,ID
MT,MT,NorthernGrid,NorthernGrid_East,MT
NV,NV,NorthernGrid,NorthernGrid_South,NV
UT,UT,NorthernGrid,NorthernGrid_South,UT
WY,WY,WestConnect,WestConnect_North,WY
CO,CO,WestConnect,WestConnect_North,CO
AZ,AZ,WestConnect,WestConnect_South,AZ
NM_W,NM,WestConnect,WestConnect_South,NM_W
NM_E,NM,SPP,SPP_South,NM_E
TX_N,TX,ERCOT,ERCOT,TX_N
TX_W,TX,ERCOT,ERCOT,TX_W
TX_S,TX,ERCOT,ERCOT,TX_S
TX_PAN,TX,SPP,SPP_South,TX_PAN
TX_SPP,TX,SPP,SPP_South,TX_SPP
TX_HSTN,TX,ERCOT,ERCOT,TX_HSTN
TX_EP,TX,WestConnect,WestConnect_South,TX_EP
TX_MISO,TX,MISO,MISO_South,TX_MISO
ND,ND,SPP,SPP_North,ND
SD,SD,SPP,SPP_North,SD
NE,NE,SPP,SPP_North,NE
KS,KS,SPP,SPP_South,KS
OK,OK,SPP,SPP_South,OK
MN,MN,MISO,MISO_North,MN
WI,WI,MISO,MISO_North,WI
IA,IA,MISO,MISO_North,IA
MO_SPP,MO,SPP,SPP_South,MO_SPP
MO_MISO,MO,MISO,MISO_Central,MO_MISO
MO_SE,MO,SERTP,SERTP,MO_SE
AR_SPP,AR,SPP,SPP_South,AR_SPP
AR_MISO,AR,MISO,MISO_South,AR_MISO
LA,LA,MISO,MISO_South,LA
MI_UP,MI,MISO,MISO_North,MI_UP
MI_LP,MI,MISO,MISO_Central,MI_LP
MI_PJM,MI,PJM,PJM_West,MI_PJM
IL_PJM,IL,PJM,PJM_West,IL_PJM
IL_MISO,IL,MISO,MISO_Central,IL_MISO
IN_PJM,IN,PJM,PJM_West,IN_PJM
IN_MISO,IN,MISO,MISO_Central,IN_MISO
KY_PJM,KY,PJM,PJM_East,KY_PJM
KY_MISO,KY,MISO,MISO_Central,KY_MISO
MS_MISO,MS,MISO,MISO_South,MS_MISO
MS_SERTP,MS,SERTP,SERTP,MS_SERTP
TN,TN,SERTP,SERTP,TN
AL,AL,SERTP,SERTP,AL
GA,GA,SERTP,SERTP,GA
SC,SC,SERTP,SERTP,SC
NC_SERTP,NC,SERTP,SERTP,NC_SERTP
NC_PJM,NC,PJM,PJM_East,NC_PJM
FL_NW,FL,FRCC,FRCC,FL_NW
FL_SE,FL,FRCC,FRCC,FL_SE
OH,OH,PJM,PJM_East,OH
WV,WV,PJM,PJM_East,WV
VA,VA,PJM,PJM_East,VA
PA,PA,PJM,PJM_East,PA
MD,MD,PJM,PJM_East,MD
DE,DE,PJM,PJM_East,DE
NJ,NJ,PJM,PJM_East,NJ
NY_UP,NY,NYISO,NYISO,NY_UP
NY_NYC,NY,NYISO,NYISO,NY_NYC
NY_LI,NY,NYISO,NYISO,NY_LI
VT,VT,ISONE,ISONE,VT
NH,NH,ISONE,ISONE,NH
MA,MA,ISONE,ISONE,MA
CT,CT,ISONE,ISONE,CT
RI,RI,ISONE,ISONE,RI
ME,ME,ISONE,ISONE,ME
